run_id,date,benchmark_version,model,build,provider,quant,ctx_window,vision,pdf_ingested,temperature,seed,prompt_tokens,completion_tokens,latency_s,cost_usd,n_point,n_line,n_area,n_codes,point_F1,area_count_fid,class_recall,headline_score
2026-06-18_claude-opus-4-8_full,2026-06-18,1.0,claude-opus-4-8,1m,cloud,,1000000,True,False,0.0,0,,,,,8,9,9,26,0.0,0.0461,0.125,0.0
2026-06-18_chatgpt-5-5,2026-06-18,1.0,chatgpt-5-5,,cloud,,,True,,,0,,,,,13,20,17,50,0.5,0.4178,0.875,0.5
2026-06-25_copilot,2026-06-25,1.0,copilot,iter3-coached,cloud,,,,,,,,,,,2,11,6,19,0.0,0.1987,0.75,0.0
2026-06-25_chatgpt,2026-06-25,1.0,chatgpt,iter3-coached,cloud,,,,,,,,,,,9,25,18,52,0.0,0.4318,1.0,0.0
2026-06-18_chatgpt-5-5,2026-06-18,2.0,chatgpt-5-5,,cloud,,,True,,,0,,,,,13,20,17,50,0.0617,0.4178,0.8235,0.0617
2026-06-18_claude-opus-4-8_full,2026-06-18,2.0,claude-opus-4-8,1m,cloud,,1000000,True,False,0.0,0,,,,,8,9,9,26,0.0,0.0461,0.1765,0.0
2026-06-18_gpt-5-5-thinking_full,2026-06-18,2.0,gpt-5.5-thinking,,cloud,,,True,True,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0
2026-06-18_chatgpt-5-5,2026-06-18,2.0,chatgpt-5-5,,cloud,,,True,,,0,,,,,13,20,17,50,0.0357,0.4178,0.7368,0.0357
2026-06-18_claude-opus-4-8_full,2026-06-18,2.0,claude-opus-4-8,1m,cloud,,1000000,True,False,0.0,0,,,,,8,9,9,26,0.0,0.0461,0.1579,0.0
2026-06-18_gpt-5-5-thinking_full,2026-06-18,2.0,gpt-5.5-thinking,,cloud,,,True,True,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0
2026-06-18_chatgpt-5-5,2026-06-18,2.0,chatgpt-5-5,,cloud,,,True,,,0,,,,,13,20,17,50,0.1206,0.4178,0.6429,0.1206
2026-06-18_claude-opus-4-8_full,2026-06-18,2.0,claude-opus-4-8,1m,cloud,,1000000,True,False,0.0,0,,,,,8,9,9,26,0.0,0.0461,0.1429,0.0
